code,name,lat,lon
YCDH,Cadney Hs,-27.90666667,134.05583333
YCAG,Caiguna,-32.28027778,125.47777778
YCDR,Caloundra,-26.80194444,153.10527778
YCVG,Calvin Grove,-34.69666667,138.57833333
YCBG,Cambridge,-42.82666667,147.47472222
YCMH,Camden Haven,-31.665,152.74166667
YCLQ,Cape Leveque,-16.40055556,122.93138889
YCEL,Capella,-23.1,148.0
YCDW,Cardwell/dallachy,-18.17833333,145.95
YCAS,Casino,-28.88277778,153.06694444
YCES,Ceres,-38.14611111,144.26166667
YCVA,Clare Valley,-33.70833333,138.58333333
YCFN,Clifton,-27.92833333,151.84666667
YUNY,Cluny,-24.51138889,139.61722222
YCDE,Cobden,-38.32666667,143.05666667
YCCT,Coconut Is,-10.05,143.06666667
YCOH,Cohuna,-35.82694444,144.21388889
YOLA,Colac,-38.28638889,143.67972222
YCEM,Coldstream,-37.72833333,145.40888889
YCBR,Collarenebri,-29.52194444,148.58222222
YCSV,Collinsville,-20.59611111,147.86
YCOO,Cooinda,-12.90277778,132.53222222
YCXA,Cooloola Cove,-25.97583333,153.00333333
YBCM,Coominya,-27.39166667,152.46166667
YCWL,Cowell,-33.66722222,136.89166667
YCRN,Cranbourn,-41.16138889,147.01472222
YCRL,Crookwell,-34.5,149.45
YCRY,Croydon,-18.2175,142.25305556
YCUE,Cue,-27.44666667,117.91861111
YCMM,Cummins Town,-34.25277778,135.71333333
YDAY,Dalby,-27.15527778,151.26722222
YDNI,Darnley Island,-9.57777778,143.77916667
YDPD,Davenport Downs,-24.14555556,141.11222222
YDLV,Delissaville,-12.55111111,130.68666667
YDLT,Delta Downs,-16.99166667,141.31666667
YDEK,Denmark,-34.94583333,117.39722222
YDVR,Docker River,-24.85833333,129.12333333
YDOP,Donnington Airpark,-19.60166667,146.84166667
YDOR,Dorunda,-16.55388889,141.82388889
YDRD,Drysdale River,-15.71305556,126.38138889
YDBR,Dunbar,-16.05,142.4
YDKI,Dunk Is,-17.94166667,146.14
YDUN,Dunwich,-27.51666667,153.42833333
YDRH,Durham Downs,-27.075,141.9
YDRI,Durrie,-25.68472222,140.22333333
YDYS,Dysart,-22.62222222,148.36388889
YECB,Eco Beach,-18.32333333,122.12666667
YESD,Eidsvold,-25.365,151.10833333
YELN,Elliston,-33.63833333,134.9
YESE,Elrose,-20.97722222,141.00722222
YMKT,Emkaytee,-12.61,131.05277778
YEMP,Emu Park,-23.25666667,150.81333333
YERN,Ernabella,-26.2625,132.18166667
YEMG,Eromanga,-26.70472222,143.26194444
YESC,Escott,-17.72805556,139.41555556
YEUO,Eulo,-28.16916667,145.04166667
YEUA,Euroa,-36.74472222,145.51333333
YEVD,Evans Head,-29.09333333,153.42027778
YEXM,Exmouth,-22.04138889,114.10222222
YFDN,Federation,-35.01277778,147.37361111
YFRG,Fregon,-26.77583333,132.0175
YGAS,Gatton Airpark,-27.59,152.25666667
YGAW,Gawler,-34.59861111,138.72138889
YGTO,George Town (tas),-41.08,146.84
YGIB,Gibb River,-16.41861111,126.44611111
YGLS,Giles,-25.05,128.3
YGIL,Gilgandra,-31.69694444,148.63611111
YGLO,Glenormiston,-22.88888889,138.82416667
YGWA,Goolwa,-35.48194444,138.75138889
YGKL,Great Keppel Is,-23.18333333,150.94166667
YGRL,Great Lakes,-37.8425,148.00027778
YGDS,Gregory Downs,-18.62555556,139.23361111
YGDO,Gundaroo,-35.045,149.25833333
YGYM,Gympie,-26.28277778,152.70194444
YHAA,Haasts Bluff,-23.45055556,131.85138889
YHAW,Hawker,-31.85472222,138.46833333
YHEC,Heck Field,-27.7675,153.33944444
YHCS,Herbertvale Cattleyard,-18.95861111,138.06222222
YHMB,Hermannsburg,-23.92777778,132.8125
YHLS,Hillston,-33.49361111,145.52361111
